Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204775,BRIDGE PRESERVATION.,BRIDGE #9 ON US-64 IN MANNS HARBOR.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,COASTAL GUNITE CONSTRUCTION COMPANY,2329000.0,2329000.0,DARE,09/20/2022,33758848.0,35.6549619,-75.62080879999999
C204775,BRIDGE PRESERVATION.,BRIDGE #9 ON US-64 IN MANNS HARBOR.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,FLATIRON CONSTRUCTORS INC,2450000.0,2450000.0,DARE,09/20/2022,49293895.0,35.6549619,-75.62080879999999
C204775,BRIDGE PRESERVATION.,BRIDGE #9 ON US-64 IN MANNS HARBOR.,2,1330000000-E,ROADWAY ITEMS,INCIDENTAL MILLING,,306.0,SY,COASTAL GUNITE CONSTRUCTION COMPANY,43.75,13387.5,DARE,09/20/2022,33758848.0,35.6549619,-75.62080879999999
C204775,BRIDGE PRESERVATION.,BRIDGE #9 ON US-64 IN MANNS HARBOR.,2,1330000000-E,ROADWAY ITEMS,INCIDENTAL MILLING,,306.0,SY,FLATIRON CONSTRUCTORS INC,35.0,10710.0,DARE,09/20/2022,49293895.0,35.6549619,-75.62080879999999
C204775,BRIDGE PRESERVATION.,BRIDGE #9 ON US-64 IN MANNS HARBOR.,3,1523000000-E,ROADWAY ITEMS,ASP CONC SURF CRS S9.5C,,26.0,TON,COASTAL GUNITE CONSTRUCTION COMPANY,1562.0,40612.0,DARE,09/20/2022,33758848.0,35.6549619,-75.62080879999999
C204775,BRIDGE PRESERVATION.,BRIDGE #9 ON US-64 IN MANNS HARBOR.,3,1523000000-E,ROADWAY ITEMS,ASP CONC SURF CRS S9.5C,,26.0,TON,FLATIRON CONSTRUCTORS INC,500.0,13000.0,DARE,09/20/2022,49293895.0,35.6549619,-75.62080879999999
C204775,BRIDGE PRESERVATION.,BRIDGE #9 ON US-64 IN MANNS HARBOR.,4,1575000000-E,ROADWAY ITEMS,ASP FOR PLANT MIX,,1.6,TON,COASTAL GUNITE CONSTRUCTION COMPANY,2500.0,4000.0,DARE,09/20/2022,33758848.0,35.6549619,-75.62080879999999
C204775,BRIDGE PRESERVATION.,BRIDGE #9 ON US-64 IN MANNS HARBOR.,4,1575000000-E,ROADWAY ITEMS,ASP FOR PLANT MIX,,1.6,TON,FLATIRON CONSTRUCTORS INC,850.51,1360.82,DARE,09/20/2022,49293895.0,35.6549619,-75.62080879999999
C204775,BRIDGE PRESERVATION.,BRIDGE #9 ON US-64 IN MANNS HARBOR.,5,4400000000-E,ROADWAY ITEMS,WORK ZONE SIGNS (STAT),,432.0,SF,COASTAL GUNITE CONSTRUCTION COMPANY,2.5,1080.0,DARE,09/20/2022,33758848.0,35.6549619,-75.62080879999999
C204775,BRIDGE PRESERVATION.,BRIDGE #9 ON US-64 IN MANNS HARBOR.,5,4400000000-E,ROADWAY ITEMS,WORK ZONE SIGNS (STAT),,432.0,SF,FLATIRON CONSTRUCTORS INC,10.0,4320.0,DARE,09/20/2022,49293895.0,35.6549619,-75.62080879999999
