Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,1,0000100000-N ,ROADWAY ITEMS,MOBILIZATION, ,1.0,LS  ,AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC,400000.0,400000.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4099000.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,1,0000100000-N ,ROADWAY ITEMS,MOBILIZATION, ,1.0,LS  ,AMERICAN CONTRACTING & SERVICES INC,206371.7,206371.7,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4127434.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,1,0000100000-N ,ROADWAY ITEMS,MOBILIZATION, ,1.0,LS  ,"LEE CONSTRUCTION CO OF THE CAROLINAS, IN",245000.0,245000.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4962711.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,2,1330000000-E ,ROADWAY ITEMS,INCIDENTAL MILLING, ,1000.0,SY  ,AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC,20.0,20000.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4099000.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,2,1330000000-E ,ROADWAY ITEMS,INCIDENTAL MILLING, ,1000.0,SY  ,AMERICAN CONTRACTING & SERVICES INC,25.0,25000.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4127434.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,2,1330000000-E ,ROADWAY ITEMS,INCIDENTAL MILLING, ,1000.0,SY  ,"LEE CONSTRUCTION CO OF THE CAROLINAS, IN",20.0,20000.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4962711.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,3,1523000000-E ,ROADWAY ITEMS,ASP CONC SURF CRS S9.5C, ,90.0,TON ,AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC,300.0,27000.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4099000.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,3,1523000000-E ,ROADWAY ITEMS,ASP CONC SURF CRS S9.5C, ,90.0,TON ,AMERICAN CONTRACTING & SERVICES INC,400.0,36000.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4127434.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,3,1523000000-E ,ROADWAY ITEMS,ASP CONC SURF CRS S9.5C, ,90.0,TON ,"LEE CONSTRUCTION CO OF THE CAROLINAS, IN",300.0,27000.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4962711.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,4,1575000000-E ,ROADWAY ITEMS,ASP FOR PLANT MIX, ,10.0,TON ,AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC,600.0,6000.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4099000.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,4,1575000000-E ,ROADWAY ITEMS,ASP FOR PLANT MIX, ,10.0,TON ,AMERICAN CONTRACTING & SERVICES INC,600.0,6000.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4127434.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,4,1575000000-E ,ROADWAY ITEMS,ASP FOR PLANT MIX, ,10.0,TON ,"LEE CONSTRUCTION CO OF THE CAROLINAS, IN",600.0,6000.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4962711.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,5,4400000000-E ,ROADWAY ITEMS,WORK ZONE SIGNS (STAT), ,632.0,SF  ,AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC,10.0,6320.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4099000.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,5,4400000000-E ,ROADWAY ITEMS,WORK ZONE SIGNS (STAT), ,632.0,SF  ,AMERICAN CONTRACTING & SERVICES INC,15.0,9480.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4127434.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,5,4400000000-E ,ROADWAY ITEMS,WORK ZONE SIGNS (STAT), ,632.0,SF  ,"LEE CONSTRUCTION CO OF THE CAROLINAS, IN",10.0,6320.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4962711.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,6,4405000000-E ,ROADWAY ITEMS,WORK ZONE SIGNS (PORT), ,96.0,SF  ,AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC,12.0,1152.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4099000.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,6,4405000000-E ,ROADWAY ITEMS,WORK ZONE SIGNS (PORT), ,96.0,SF  ,AMERICAN CONTRACTING & SERVICES INC,15.0,1440.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4127434.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,6,4405000000-E ,ROADWAY ITEMS,WORK ZONE SIGNS (PORT), ,96.0,SF  ,"LEE CONSTRUCTION CO OF THE CAROLINAS, IN",25.0,2400.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4962711.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,7,4415000000-N ,ROADWAY ITEMS,FLASHING ARROW BOARD, ,5.0,EA  ,AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC,2800.0,14000.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4099000.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,7,4415000000-N ,ROADWAY ITEMS,FLASHING ARROW BOARD, ,5.0,EA  ,AMERICAN CONTRACTING & SERVICES INC,3000.0,15000.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4127434.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,7,4415000000-N ,ROADWAY ITEMS,FLASHING ARROW BOARD, ,5.0,EA  ,"LEE CONSTRUCTION CO OF THE CAROLINAS, IN",4500.0,22500.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4962711.0,35.142191450000006,-80.01974089999999
C204230        ,BRIDGE PRESERVATION.,BRIDGES #78 AND 81 OVER PEE DEE RIVER ON US-74 AND BRIDGE #6 OVER PEE DEE RIVER ON NC-731.,8,4420000000-N ,ROADWAY ITEMS,PORTABLE CHANGE MSG SIGN, ,3.0,EA  ,AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC,10000.0,30000.0,"Montgomery, Stanly, Richmond, Anson",02/15/2022,4099000.0,35.142191450000006,-80.01974089999999
