Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204361,"GRADING, DRAINAGE, PAVING, AND STRUCTURE.",BRIDGE #7 OVER INDIAN CREEK ON NC-182.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,APPLE TUCK & ASSOCIATES INC,50500.0,50500.0,LINCOLN,12/20/2022,2176063.0,35.4637028,-81.20781640000001
C204361,"GRADING, DRAINAGE, PAVING, AND STRUCTURE.",BRIDGE #7 OVER INDIAN CREEK ON NC-182.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,KEMP SIGMON CONSTRUCTION CO INC,119500.0,119500.0,LINCOLN,12/20/2022,2293749.0,35.4637028,-81.20781640000001
C204361,"GRADING, DRAINAGE, PAVING, AND STRUCTURE.",BRIDGE #7 OVER INDIAN CREEK ON NC-182.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,R E BURNS & SONS CO INC,118000.0,118000.0,LINCOLN,12/20/2022,2376172.0,35.4637028,-81.20781640000001
C204361,"GRADING, DRAINAGE, PAVING, AND STRUCTURE.",BRIDGE #7 OVER INDIAN CREEK ON NC-182.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,DANE CONSTRUCTION INC,139560.0,139560.0,LINCOLN,12/20/2022,2791215.0,35.4637028,-81.20781640000001
C204361,"GRADING, DRAINAGE, PAVING, AND STRUCTURE.",BRIDGE #7 OVER INDIAN CREEK ON NC-182.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,"LEE CONSTRUCTION CO OF THE CAROLINAS, IN",160000.0,160000.0,LINCOLN,12/20/2022,3199967.0,35.4637028,-81.20781640000001
C204361,"GRADING, DRAINAGE, PAVING, AND STRUCTURE.",BRIDGE #7 OVER INDIAN CREEK ON NC-182.,2,0000400000-N,ROADWAY ITEMS,CONSTRUCTION SURVEYING,,1.0,LS,APPLE TUCK & ASSOCIATES INC,15000.0,15000.0,LINCOLN,12/20/2022,2176063.0,35.4637028,-81.20781640000001
C204361,"GRADING, DRAINAGE, PAVING, AND STRUCTURE.",BRIDGE #7 OVER INDIAN CREEK ON NC-182.,2,0000400000-N,ROADWAY ITEMS,CONSTRUCTION SURVEYING,,1.0,LS,KEMP SIGMON CONSTRUCTION CO INC,17500.0,17500.0,LINCOLN,12/20/2022,2293749.0,35.4637028,-81.20781640000001
C204361,"GRADING, DRAINAGE, PAVING, AND STRUCTURE.",BRIDGE #7 OVER INDIAN CREEK ON NC-182.,2,0000400000-N,ROADWAY ITEMS,CONSTRUCTION SURVEYING,,1.0,LS,R E BURNS & SONS CO INC,13100.0,13100.0,LINCOLN,12/20/2022,2376172.0,35.4637028,-81.20781640000001
C204361,"GRADING, DRAINAGE, PAVING, AND STRUCTURE.",BRIDGE #7 OVER INDIAN CREEK ON NC-182.,2,0000400000-N,ROADWAY ITEMS,CONSTRUCTION SURVEYING,,1.0,LS,DANE CONSTRUCTION INC,15000.0,15000.0,LINCOLN,12/20/2022,2791215.0,35.4637028,-81.20781640000001
C204361,"GRADING, DRAINAGE, PAVING, AND STRUCTURE.",BRIDGE #7 OVER INDIAN CREEK ON NC-182.,2,0000400000-N,ROADWAY ITEMS,CONSTRUCTION SURVEYING,,1.0,LS,"LEE CONSTRUCTION CO OF THE CAROLINAS, IN",15000.0,15000.0,LINCOLN,12/20/2022,3199967.0,35.4637028,-81.20781640000001
C204361,"GRADING, DRAINAGE, PAVING, AND STRUCTURE.",BRIDGE #7 OVER INDIAN CREEK ON NC-182.,3,0030000000-N,ROADWAY ITEMS,TYPE II MODIFIED APPR **********,(17+40.00 -L-),1.0,LS,APPLE TUCK & ASSOCIATES INC,30000.0,30000.0,LINCOLN,12/20/2022,2176063.0,35.4637028,-81.20781640000001
